"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"257",3,-4,-3,-3,-4,4,3,3,-1,-4,-3,-3,4,-4,0,-4,0,4
"258",1,-1,-2,-2,-3,3,3,-1,2,1,-1,3,-2,-3,-1,-1,2,-1
"259",1,2,0,-3,-3,3,3,3,0,3,3,3,0,-3,-3,-3,1,3
"260",3,2,3,4,-4,4,2,4,4,2,0,3,3,-2,-4,-3,0,-3
"261",0,2,3,-3,-3,3,4,4,3,3,3,4,4,-2,-4,-3,2,4
"262",-1,1,2,2,3,0,-1,-2,2,0,1,2,2,1,2,3,-3,-4
"263",4,1,4,-2,3,2,2,2,4,4,4,4,4,2,2,2,3,4
"264",3,2,1,-2,-3,2,3,4,3,1,2,2,3,-2,1,2,3,3
"265",1,0,-1,-1,-2,2,2,3,1,-1,1,1,1,0,-1,-1,1,3
"266",4,-4,-3,-2,-3,4,4,4,0,3,4,4,4,-3,2,-3,3,0
"267",-2,3,3,0,-1,-2,2,4,4,3,4,2,0,-1,-2,0,0,1
"268",3,4,1,0,0,0,1,4,2,1,3,1,3,-1,-3,-2,1,0
"269",-2,3,4,-3,-3,-3,2,4,4,3,4,0,0,-4,-4,-3,3,-4
"270",4,2,4,4,4,2,4,3,3,-4,4,4,2,-3,3,-4,3,4
"271",0,0,0,-2,0,-3,0,4,4,0,4,0,0,0,3,0,2,-2
"272",2,3,4,1,0,-1,3,4,4,-3,3,-3,4,1,4,-3,2,-4
"273",2,1,0,-2,-1,3,4,3,1,-2,1,-1,2,2,0,-1,1,3
"274",2,2,-2,-2,-2,1,3,3,4,4,3,4,3,3,1,2,2,3
"275",2,-2,3,1,2,0,3,3,3,-3,-4,-4,3,1,-3,-3,3,4
"276",3,1,4,4,-3,1,3,4,4,-3,-3,-3,1,-3,-4,-3,1,-2
"277",3,0,-3,-2,0,0,2,4,4,1,4,2,0,-3,0,-4,2,-3
"278",3,-3,-2,-2,-2,2,2,3,-3,-2,-3,-2,-1,-2,-1,-2,-1,2
"279",0,0,0,-2,-2,-3,3,4,4,4,2,-2,-1,-4,-3,-2,3,0
"280",2,-1,-2,-2,-1,0,3,2,1,-1,-1,-2,3,0,-1,-2,1,3
"281",0,1,-1,-1,0,2,2,4,3,-2,3,-1,0,0,0,3,0,-3
"282",2,3,4,1,-1,3,3,4,4,2,4,2,-1,-2,-1,-3,4,-3
"283",2,2,-1,2,-2,-2,-2,2,2,-1,-2,-2,1,-2,-2,-1,2,-1
"284",0,2,-3,-2,-3,0,3,4,4,4,3,4,0,-3,-3,-4,0,-1
"285",4,4,0,-2,-2,0,4,4,2,3,3,4,3,-3,-4,-2,0,-4
"286",1,2,2,-1,-2,-3,2,3,3,4,4,4,-1,-3,-2,-2,-1,-3
"287",0,2,0,-1,0,0,4,4,4,4,4,4,0,0,0,-3,4,0
"288",3,-2,3,3,-3,3,4,4,4,4,4,3,4,-3,-4,-3,3,-4
"289",4,-3,-4,-4,-3,-3,2,4,4,3,3,2,2,-2,0,-4,2,-3
"290",3,3,4,3,3,1,0,4,4,2,4,3,3,2,0,0,0,3
"291",3,1,-3,1,2,3,4,4,4,-3,-4,4,4,-1,1,-4,-1,4
"292",2,-2,-3,2,-4,2,-1,-1,2,2,3,3,-1,-3,-2,-1,1,1
"293",3,3,2,-3,-3,0,1,3,3,3,-3,-3,4,4,-4,-4,2,-3
"294",0,0,2,2,0,-1,2,4,4,2,3,4,4,0,0,0,3,0
"295",-1,-2,3,-2,-2,-1,4,3,-1,2,-1,-1,-2,-3,-2,-2,2,-1
"296",2,2,-1,0,-2,-2,1,2,4,2,2,3,0,-2,1,-2,2,3
"297",4,-4,-3,-4,-2,2,3,3,3,4,4,-2,4,0,0,-1,0,4
"298",4,0,0,0,-1,0,4,1,0,0,2,0,1,0,-2,-4,0,0
"299",0,0,0,0,0,-2,0,2,4,2,4,4,0,0,-3,-3,-4,-3
"300",2,3,-4,-4,-4,0,1,1,3,3,-1,3,2,-3,-2,-3,0,-4
"301",0,0,1,-4,-2,-2,1,2,0,4,2,-2,3,-2,1,0,2,2
"302",1,1,1,-1,0,0,1,2,3,-1,0,0,2,-3,-1,-3,2,1
"303",0,0,0,0,0,0,4,4,4,0,-2,3,4,-4,0,0,4,4
"304",1,2,3,2,2,1,3,4,3,4,3,2,2,3,-2,-3,2,-1
"305",4,-4,-3,-2,-2,2,2,2,0,2,0,-2,4,-4,4,-4,2,4
"306",3,-2,-3,-3,-1,3,4,4,3,-3,-3,-3,4,0,2,3,4,4
